code,name
1140869270,"""medroxyprogesterone"""
1140910674,"""ethinylnortestosterone"""
1140857656,"""methyltestosterone product"""
1140865136,"""yohimbine/pemoline/methyltestosterone"""
1140868532,"""testosterone product"""
1140857690,"""oestradiol 25mg implant 36 week"""
1140857700,"""oestradiol 1mg/1ml injection"""
1141165318,"""cetrorelix"""
1140917306,"""bicalutamide"""
1140917310,"""casodex 50mg tablet"""
1140917448,"""oestradiol 1.25g/dose gel"""
1140917450,"""oestrogel 1.25g gel"""
1141171536,"""ganirelix"""
1140884638,"""clomiphene"""
1140884634,"""cyproterone"""
1140870186,"""oestrifen 10mg tablet"""
1140921100,"""triptorelin"""
1140868984,"""nafarelin"""
1140868978,"""gestrinone"""
1140884544,"""leuprorelin"""
1140870248,"""buserelin"""
1140870194,"""goserelin"""
1141157394,"""goserelin product"""
1140868882,"""gonadorelin"""
1141182558,"""urofollitropin"""
1140868722,"""cyclofenil"""
1140868580,"""norethisterone"""
1140869328,"""ethinyloestradiol+norethisterone acetate 20mcg/1mg tablet"""
1140869356,"""mestranol+norethisterone 50micrograms/1mg tablet"""
1141157406,"""norethisterone product"""
1141168324,"""oestradiol+norethisterone acetate 1mg/0.5mg tablet"""
1141181298,"""ethinylestradiol+norethisterone acetate 20mcg/1mg tablet"""
1141181204,"""ethinylestradiol+norgestimate 35mcg/250mcg tablet"""
1141181218,"""ethinylestradiol product"""
1141181220,"""ethinylestradiol"""
1141181240,"""ethinylestradiol+levonorgestrel 30mcg/150mcg tablet"""
1141181286,"""ethinylestradiol+desogestrel 20mcg/150mcg tablet"""
1140869348,"""ethinyloestradiol+norgestimate 35mcg/250mcg tablet"""
1140868520,"""estracombi tts patch"""
1140857628,"""gestone 10mg/1ml injection"""
1140857704,"""ovestin 250micrograms tablet"""
1140857706,"""oestriol 250micrograms tablet"""
1140857708,"""quinestradol"""
1140857710,"""pentovis 250micrograms tablet"""
1140857714,"""quinestrol"""
1140857716,"""estrovis 4mg tablet"""
1140857736,"""virormone 10mg/1ml injection"""
1140857912,"""desogestrel"""
1140857918,"""lynoestrenol"""
1140857920,"""minilyn tablet"""
1140858324,"""medroxyprogest 80mg/ml suspension 100ml"""
1140858332,"""sh-420 10mg tablet"""
1140858338,"""drostanolone propionate"""
1140858340,"""masteril 100mg/1ml injection"""
1140858348,"""noltam 10mg tablet"""
1140864196,"""climagest 1mg tablet"""
1140864502,"""testotop tts 15mg transdermal patch"""
1140868400,"""oestriol product"""
1140868372,"""climaval 1mg tablet"""
1140868406,"""conjugated oestrogens"""
1140868408,"""premarin 625micrograms tablet"""
1140868420,"""piperazine oestrone sulphate"""
1140868422,"""harmogen 1.5mg tablet"""
1140868472,"""vagifem 25mcg pessary"""
1140868482,"""tibolone"""
1140868488,"""allyloestrenol"""
1140868490,"""gestanin 5mg tablet"""
1140868494,"""dydrogesterone"""
1140868496,"""duphaston 10mg tablet"""
1140868508,"""cyclo-progynova 1mg tablet"""
1140868512,"""syntex menophase tablet"""
1140868514,"""trisequens tablet"""
1140868518,"""nuvelle tablet"""
1140868524,"""androcur 50mg tablet"""
1140868526,"""mesterolone"""
1140868528,"""pro-viron 25mg tablet"""
1140868534,"""primoteston depot 250mg/1ml oily injection"""
1140868536,"""restandol 40mg capsule"""
1140868538,"""sustanon 100 oily injection"""
1140868584,"""primolut-n 5mg tablet"""
1140868586,"""utovlan 5mg tablet"""
1140868588,"""progesterone product"""
1140868590,"""cyclogest 200mg suppository"""
1140868614,"""deca-durabolin 25mg/1ml oily injection"""
1140868618,"""stanozolol"""
1140868620,"""stromba 5mg tablet"""
1140868628,"""humegon 75iu injection (pdr for recon)+solvent"""
1140869032,"""dienoestrol"""
1140869034,"""ortho-gynest 500micrograms pessary"""
1140869166,"""ethinyloestradiol+desogestrel 20mcg/150mcg tablet"""
1140869170,"""conova 30 tablet"""
1140869172,"""ethinyloestradiol+ethynodiol diacetate 30mcg/2mg tablet"""
1140869174,"""eugynon 30 tablet"""
1140869176,"""logynon tablet"""
1140869180,"""microgynon 30 tablet"""
1140869184,"""ovran 30 tablet"""
1140869186,"""ovranette tablet"""
1140869188,"""schering pc4 tablet"""
1140869190,"""trinordiol tablet"""
1140869248,"""ethinyloestradiol+levonorgestrel 30mcg/150mcg tablet"""
1140869254,"""binovum tablet"""
1140869256,"""brevinor tablet"""
1140869258,"""neocon 1/35 tablet"""
1140869260,"""norimin tablet"""
1140869262,"""ovysmen tablet"""
1140869264,"""synphase tablet"""
1140869266,"""trinovum tablet"""
1140869272,"""neogest tablet"""
1140869276,"""micronor tablet"""
1140869278,"""noriday tablet"""
1140869282,"""noristerat 200mg/1ml oily injection"""
1140869324,"""loestrin 20 tablet"""
1140869332,"""minulet tablet"""
1140869334,"""femodene tablet"""
1140869338,"""tri-minulet tablet"""
1140869340,"""triadene tablet"""
1140869346,"""cilest tablet"""
1140869352,"""norinyl-1 tablet"""
1140869354,"""ortho-novin 1/50 tablet"""
1140869360,"""ethynodiol diacetate"""
1140869362,"""femulen tablet"""
1140869366,"""levonorgestrel"""
1140869368,"""microval tablet"""
1140869370,"""norgeston tablet"""
1140870060,"""polyestradiol phosphate"""
1140870052,"""honvan 100mg tablet"""
1140870062,"""estradurin 40mg injection (pdr for recon)+diluent"""
1140870070,"""stilboestrol"""
1140870076,"""apstil 1mg tablet"""
1140876638,"""cyproterone acetate+ethinyloestradiol"""
1140879554,"""estramustine"""
1140884622,"""oestrogen product"""
1140884624,"""fosfestrol"""
1140884626,"""mestranol"""
1140884688,"""hydroxyprogesterone"""
1140909906,"""estropipate"""
1140910562,"""gestonorone"""
1140921088,"""tridestra tablet"""
1141157404,"""ethinyloestradiol product"""
1141157410,"""levonorgestrel product"""
1141157492,"""mestranol product"""
1141166196,"""etonogestrel"""
1141166354,"""testoderm 6mg/24hours transdermal patch"""
1141166366,"""ethinyloestradiol+gestodene 20micrograms/75micrograms tablet"""
1141167206,"""oestrogel 0.06% gel"""
1141177150,"""adgyn medro 5mg tablet"""
1141177158,"""adgyn estro 2mg tablet"""
1141177226,"""adgyn combi 2mg tablet"""
1141179822,"""ethinylestradiol+drospirenone 30micrograms/3mg tablet"""
1141179820,"""drospirenone"""
1141180988,"""dienestrol"""
1141181594,"""estriol product"""
1141181700,"""estradiol product"""
1141182794,"""desogestrel product"""
1141190580,"""conjugated oestrogens 0.3mg / medroxyprogesterone 1.5mg tab"""
1141192344,"""cyproterone acetate+ethinylestradiol"""
1141192874,"""ethinylestradiol+norelgestromin 600mcg/6mg transdermal patch"""
1141193272,"""testogel 50mg gel 5g sachet"""
1141202030,"""estradot 25micrograms patch"""
1141181818,"""estradiol+norethisterone acetate 1mg/0.5mg tablet"""